#N, #batchCount, #result, #GPUtimeInMs, #CPUtime1InMs, #CPUtime4InMs, #CPUtime8InMs, #CPUtime16InMs, #memMB, #memByte
1, 10000, 0, 207.818000, 2.462000, 1.352000, 1.261000, 1.229000, 3.814697, 4000000
2, 10000, 0, 4.929000, 5.320000, 2.587000, 1.364000, 1.220000, 5.035400, 5280000
3, 10000, 0, 5.576000, 8.506000, 3.744000, 1.893000, 1.340000, 6.256104, 6560000
4, 10000, 0, 5.798000, 11.856000, 5.010000, 2.530000, 1.457000, 7.476807, 7840000
5, 10000, 0, 7.328000, 15.704000, 7.254000, 3.802000, 1.902000, 8.697510, 9120000
6, 10000, 0, 8.257000, 19.761000, 9.285000, 4.486000, 2.221000, 9.918213, 10400000
7, 10000, 0, 9.510000, 24.180000, 11.224000, 5.277000, 2.727000, 11.138916, 11680000
8, 10000, 0, 7.246000, 28.851000, 13.109000, 6.182000, 3.196000, 12.359619, 12960000
9, 10000, 0, 10.932000, 33.971000, 15.138000, 7.241000, 3.727000, 13.580322, 14240000
10, 10000, 0, 10.480000, 39.268000, 17.149000, 8.268000, 4.166000, 14.801025, 15520000
11, 10000, 0, 11.635000, 45.748000, 19.618000, 9.501000, 4.765000, 16.021729, 16800000
12, 10000, 0, 9.740000, 49.389000, 21.448000, 10.355000, 5.619000, 17.242432, 18080000
13, 10000, 0, 12.864000, 57.445000, 24.221000, 11.825000, 6.434000, 18.463135, 19360000
14, 10000, 0, 12.442000, 62.188000, 26.114000, 12.730000, 6.983000, 19.683838, 20640000
15, 10000, 0, 13.496000, 71.610000, 29.926000, 14.535000, 7.848000, 20.904541, 21920000
16, 10000, 0, 11.513000, 72.585000, 30.196000, 15.828000, 8.128000, 22.125244, 23200000
17, 10000, 0, 15.014000, 85.540000, 34.082000, 17.944000, 9.287000, 23.345947, 24480000
18, 10000, 0, 15.506000, 89.265000, 35.658000, 19.018000, 9.818000, 24.566650, 25760000
19, 10000, 0, 16.191000, 102.136000, 39.761000, 21.138000, 10.929000, 25.787354, 27040000
20, 10000, 0, 15.762000, 101.260000, 40.350000, 21.545000, 11.223000, 27.008057, 28320000
21, 10000, 0, 18.006000, 118.723000, 45.331000, 24.173000, 12.654000, 28.228760, 29600000
22, 10000, 0, 18.462000, 121.120000, 46.847000, 25.095000, 13.083000, 29.449463, 30880000
23, 10000, 0, 19.828000, 136.396000, 52.741000, 27.237000, 14.300000, 30.670166, 32160000
24, 10000, 0, 18.144000, 131.576000, 50.190000, 27.528000, 14.182000, 31.890869, 33440000
25, 10000, 0, 21.840000, 155.179000, 56.717000, 30.793000, 16.179000, 33.111572, 34720000
26, 10000, 0, 21.497000, 156.648000, 58.159000, 31.805000, 16.733000, 34.332275, 36000000
27, 10000, 0, 23.221000, 176.584000, 65.789000, 34.297000, 18.152000, 35.552979, 37280000
28, 10000, 0, 21.889000, 170.096000, 62.421000, 34.986000, 18.012000, 36.773682, 38560000
29, 10000, 0, 24.894000, 200.381000, 72.484000, 39.327000, 20.252000, 37.994385, 39840000
30, 10000, 0, 25.301000, 196.034000, 72.851000, 38.478000, 20.627000, 39.215088, 41120000
31, 10000, 0, 27.644000, 221.078000, 81.174000, 41.651000, 22.462000, 40.435791, 42400000
32, 10000, 0, 25.159000, 200.293000, 70.945000, 40.632000, 21.087000, 41.656494, 43680000
1, 50000, 0, 15.253000, 13.582000, 5.977000, 5.842000, 5.818000, 19.073486, 20000000
2, 50000, 0, 15.966000, 26.259000, 13.219000, 6.822000, 5.912000, 25.177002, 26400000
3, 50000, 0, 18.630000, 42.283000, 20.110000, 10.101000, 6.693000, 31.280518, 32800000
4, 50000, 0, 21.470000, 59.537000, 26.914000, 13.444000, 7.988000, 37.384033, 39200000
5, 50000, 0, 25.198000, 78.299000, 33.682000, 18.135000, 9.708000, 43.487549, 45600000
6, 50000, 0, 29.653000, 97.923000, 41.002000, 22.132000, 11.745000, 49.591064, 52000000
7, 50000, 0, 35.969000, 120.575000, 47.995000, 26.341000, 13.836000, 55.694580, 58400000
8, 50000, 0, 26.303000, 142.612000, 55.256000, 30.462000, 16.172000, 61.798096, 64800000
9, 50000, 0, 40.842000, 170.102000, 62.910000, 34.683000, 18.537000, 67.901611, 71200000
10, 50000, 0, 40.428000, 194.475000, 70.768000, 39.507000, 21.204000, 74.005127, 77600000
11, 50000, 0, 46.675000, 227.102000, 78.959000, 44.427000, 23.914000, 80.108643, 84000000
12, 50000, 0, 37.580000, 245.372000, 85.113000, 48.081000, 26.472000, 86.212158, 90400000
13, 50000, 0, 52.994000, 285.139000, 95.701000, 56.088000, 30.134000, 92.315674, 96800000
14, 50000, 0, 49.718000, 311.363000, 105.277000, 60.398000, 31.867000, 98.419189, 103200000
15, 50000, 0, 56.098000, 355.153000, 111.304000, 63.736000, 35.197000, 104.522705, 109600000
16, 50000, 0, 47.169000, 361.999000, 114.961000, 65.769000, 36.206000, 110.626221, 116000000
17, 50000, 0, 63.555000, 427.525000, 131.516000, 73.578000, 40.846000, 116.729736, 122400000
18, 50000, 0, 64.443000, 446.736000, 132.820000, 80.056000, 44.618000, 122.833252, 128800000
19, 50000, 0, 71.354000, 510.098000, 145.443000, 87.022000, 48.451000, 128.936768, 135200000
20, 50000, 0, 66.178000, 508.705000, 150.005000, 85.605000, 50.056000, 135.040283, 141600000
21, 50000, 0, 79.245000, 596.612000, 169.255000, 98.679000, 53.963000, 141.143799, 148000000
22, 50000, 0, 79.450000, 608.855000, 171.926000, 97.405000, 58.867000, 147.247314, 154400000
